data_inicio,data_fim,etanol_blr
01/01/2017,07/01/2017,2.725
08/01/2017,14/01/2017,2.79
15/01/2017,21/01/2017,2.803
22/01/2017,28/01/2017,2.792
29/01/2017,04/02/2017,2.781
05/02/2017,11/02/2017,2.753
12/02/2017,18/02/2017,2.744
19/02/2017,25/02/2017,2.714
26/02/2017,04/03/2017,2.668
05/03/2017,11/03/2017,2.613
12/03/2017,18/03/2017,2.564
19/03/2017,25/03/2017,2.52
26/03/2017,01/04/2017,2.497
02/04/2017,08/04/2017,2.456
09/04/2017,15/04/2017,2.457
16/04/2017,22/04/2017,2.429
23/04/2017,29/04/2017,2.417
30/04/2017,06/05/2017,2.408
07/05/2017,13/05/2017,2.41
14/05/2017,20/05/2017,2.385
21/05/2017,27/05/2017,2.356
28/05/2017,03/06/2017,2.317
04/06/2017,10/06/2017,2.296
11/06/2017,17/06/2017,2.276
18/06/2017,24/06/2017,2.257
25/06/2017,01/07/2017,2.233
02/07/2017,08/07/2017,2.205
09/07/2017,15/07/2017,2.196
16/07/2017,22/07/2017,2.148
23/07/2017,29/07/2017,2.381
30/07/2017,05/08/2017,2.411
06/08/2017,12/08/2017,2.39
13/08/2017,19/08/2017,2.406
20/08/2017,26/08/2017,2.403
27/08/2017,02/09/2017,2.445
03/09/2017,09/09/2017,2.443
10/09/2017,16/09/2017,2.443
17/09/2017,23/09/2017,2.442
24/09/2017,30/09/2017,2.475
01/10/2017,07/10/2017,2.467
08/10/2017,14/10/2017,2.476
15/10/2017,21/10/2017,2.489
22/10/2017,28/10/2017,2.506
29/10/2017,04/11/2017,2.527
05/11/2017,11/11/2017,2.586
12/11/2017,18/11/2017,2.598
19/11/2017,25/11/2017,2.669
26/11/2017,02/12/2017,2.721
03/12/2017,09/12/2017,2.713
10/12/2017,16/12/2017,2.734
17/12/2017,23/12/2017,2.798
24/12/2017,30/12/2017,2.803
31/12/2017,06/01/2018,2.826
07/01/2018,13/01/2018,2.833
14/01/2018,20/01/2018,2.868
21/01/2018,27/01/2018,2.874
28/01/2018,03/02/2018,2.891
04/02/2018,10/02/2018,2.884
11/02/2018,17/02/2018,2.892
18/02/2018,24/02/2018,2.886
25/02/2018,03/03/2018,2.874
04/03/2018,10/03/2018,2.862
11/03/2018,17/03/2018,2.88
18/03/2018,24/03/2018,2.873
25/03/2018,31/03/2018,2.872
01/04/2018,07/04/2018,2.867
08/04/2018,14/04/2018,2.848
15/04/2018,21/04/2018,2.802
22/04/2018,28/04/2018,2.708
29/04/2018,05/05/2018,2.656
06/05/2018,12/05/2018,2.613
13/05/2018,19/05/2018,2.603
20/05/2018,26/05/2018,2.641
27/05/2018,02/06/2018,2.801
03/06/2018,09/06/2018,2.835
10/06/2018,16/06/2018,2.789
17/06/2018,23/06/2018,2.749
24/06/2018,30/06/2018,2.7
01/07/2018,07/07/2018,2.632
08/07/2018,14/07/2018,2.598
15/07/2018,21/07/2018,2.555
22/07/2018,28/07/2018,2.517
29/07/2018,04/08/2018,2.496
05/08/2018,11/08/2018,2.462
12/08/2018,18/08/2018,2.423
19/08/2018,25/08/2018,2.393
26/08/2018,01/09/2018,2.408
02/09/2018,08/09/2018,2.488
09/09/2018,15/09/2018,2.623
16/09/2018,22/09/2018,2.641
23/09/2018,29/09/2018,2.685
30/09/2018,06/10/2018,2.682
07/10/2018,13/10/2018,2.746
14/10/2018,20/10/2018,2.768
21/10/2018,27/10/2018,2.81
28/10/2018,03/11/2018,2.801
04/11/2018,10/11/2018,2.794
11/11/2018,17/11/2018,2.76
18/11/2018,24/11/2018,2.732
25/11/2018,01/12/2018,2.696
02/12/2018,08/12/2018,2.65
09/12/2018,15/12/2018,2.63
16/12/2018,22/12/2018,2.641
23/12/2018,29/12/2018,2.644
30/12/2018,05/01/2019,2.643
06/01/2019,12/01/2019,2.644
13/01/2019,19/01/2019,2.636
20/01/2019,26/01/2019,2.608
27/01/2019,02/02/2019,2.592
03/02/2019,09/02/2019,2.56
10/02/2019,16/02/2019,2.559
17/02/2019,23/02/2019,2.585
24/02/2019,02/03/2019,2.722
03/03/2019,09/03/2019,2.752
10/03/2019,16/03/2019,2.831
17/03/2019,23/03/2019,2.833
24/03/2019,30/03/2019,2.834
31/03/2019,06/04/2019,2.764
07/04/2019,13/04/2019,2.742
14/04/2019,20/04/2019,2.82
21/04/2019,27/04/2019,2.986
28/04/2019,04/05/2019,2.945
05/05/2019,11/05/2019,2.869
12/05/2019,18/05/2019,2.803
19/05/2019,25/05/2019,2.736
26/05/2019,01/06/2019,2.699
02/06/2019,08/06/2019,2.648
09/06/2019,15/06/2019,2.63
16/06/2019,22/06/2019,2.593
23/06/2019,29/06/2019,2.557
30/06/2019,06/07/2019,2.554
07/07/2019,13/07/2019,2.549
14/07/2019,20/07/2019,2.544
21/07/2019,27/07/2019,2.537
28/07/2019,03/08/2019,2.586
04/08/2019,10/08/2019,2.591
11/08/2019,17/08/2019,2.624
18/08/2019,24/08/2019,2.643
25/08/2019,31/08/2019,2.648
01/09/2019,07/09/2019,2.634
08/09/2019,14/09/2019,2.626
15/09/2019,21/09/2019,2.622
22/09/2019,28/09/2019,2.648
29/09/2019,05/10/2019,2.655
06/10/2019,12/10/2019,2.669
13/10/2019,19/10/2019,2.689
20/10/2019,26/10/2019,2.726
27/10/2019,02/11/2019,2.724
03/11/2019,09/11/2019,2.744
10/11/2019,16/11/2019,2.767
17/11/2019,23/11/2019,2.804
24/11/2019,30/11/2019,2.816
01/12/2019,07/12/2019,2.876
08/12/2019,14/12/2019,2.931
15/12/2019,21/12/2019,2.977
22/12/2019,28/12/2019,2.979
29/12/2019,04/01/2020,2.997
05/01/2020,11/01/2020,3.006
12/01/2020,18/01/2020,3.073
19/01/2020,25/01/2020,3.061
26/01/2020,01/02/2020,3.05
02/02/2020,08/02/2020,3.052
09/02/2020,15/02/2020,3.062
16/02/2020,22/02/2020,3.049
23/02/2020,29/02/2020,3.057
01/03/2020,07/03/2020,3.057
08/03/2020,14/03/2020,3.062
15/03/2020,21/03/2020,3.035
22/03/2020,28/03/2020,2.924
29/03/2020,04/04/2020,2.81
05/04/2020,11/04/2020,2.656
12/04/2020,18/04/2020,2.59
19/04/2020,25/04/2020,2.502
26/04/2020,02/05/2020,2.455
03/05/2020,09/05/2020,2.373
10/05/2020,16/05/2020,2.349
17/05/2020,23/05/2020,2.324
24/05/2020,30/05/2020,2.335
31/05/2020,06/06/2020,2.385
07/06/2020,13/06/2020,2.424
14/06/2020,20/06/2020,2.493
21/06/2020,27/06/2020,2.523
28/06/2020,04/07/2020,2.544
05/07/2020,11/07/2020,2.544
12/07/2020,18/07/2020,2.533
19/07/2020,25/07/2020,2.551
26/07/2020,01/08/2020,2.553
02/08/2020,08/08/2020,2.564
09/08/2020,15/08/2020,2.565
16/08/2020,22/08/2020,2.571
18/10/2020,24/10/2020,2.829
25/10/2020,31/10/2020,2.912
01/11/2020,07/11/2020,2.913
08/11/2020,14/11/2020,2.93
15/11/2020,21/11/2020,2.962
22/11/2020,28/11/2020,2.985
29/11/2020,05/12/2020,3.006
06/12/2020,12/12/2020,3.024
13/12/2020,19/12/2020,3.021
20/12/2020,26/12/2020,3.018
27/12/2020,02/01/2021,3.01
03/01/2021,09/01/2021,3.039
10/01/2021,16/01/2021,3.038
17/01/2021,23/01/2021,3.05
24/01/2021,30/01/2021,3.079
31/01/2021,06/02/2021,3.127
07/02/2021,13/02/2021,3.142
14/02/2021,20/02/2021,3.223
21/02/2021,27/02/2021,3.496
28/02/2021,06/03/2021,3.777
07/03/2021,13/03/2021,3.949
14/03/2021,20/03/2021,3.981
21/03/2021,27/03/2021,3.852
28/03/2021,03/04/2021,3.658
04/04/2021,10/04/2021,3.585
11/04/2021,17/04/2021,3.54
18/04/2021,24/04/2021,3.587
25/04/2021,01/05/2021,3.694
02/05/2021,08/05/2021,3.774
09/05/2021,15/05/2021,4.08
16/05/2021,22/05/2021,4.176
23/05/2021,29/05/2021,4.159
30/05/2021,05/06/2021,4.122
06/06/2021,12/06/2021,4.191
13/06/2021,19/06/2021,4.215
20/06/2021,26/06/2021,4.168
27/06/2021,03/07/2021,4.095
04/07/2021,10/07/2021,4.07
11/07/2021,17/07/2021,4.097
18/07/2021,24/07/2021,4.125
25/07/2021,31/07/2021,4.099
01/08/2021,07/08/2021,4.116
08/08/2021,14/08/2021,4.163
15/08/2021,21/08/2021,4.262
22/08/2021,28/08/2021,4.331
29/08/2021,04/09/2021,4.39
05/09/2021,11/09/2021,4.434
12/09/2021,18/09/2021,4.504
19/09/2021,25/09/2021,4.516
26/09/2021,02/10/2021,4.538
03/10/2021,09/10/2021,4.563
10/10/2021,16/10/2021,4.627
17/10/2021,23/10/2021,4.688
24/10/2021,30/10/2021,4.876
31/10/2021,06/11/2021,5.147
07/11/2021,13/11/2021,5.257
14/11/2021,20/11/2021,5.253
21/11/2021,27/11/2021,5.22
28/11/2021,04/12/2021,5.133
05/12/2021,11/12/2021,5.038
12/12/2021,18/12/2021,4.938
19/12/2021,25/12/2021,4.905
26/12/2021,01/01/2022,4.883
02/01/2022,08/01/2022,4.878
09/01/2022,15/01/2022,4.869
16/01/2022,22/01/2022,4.85
23/01/2022,29/01/2022,4.789
30/01/2022,05/02/2022,4.706
06/02/2022,12/02/2022,4.539
13/02/2022,19/02/2022,4.457
20/02/2022,26/02/2022,4.401
27/02/2022,05/03/2022,4.365
06/03/2022,12/03/2022,4.389
13/03/2022,19/03/2022,4.694
20/03/2022,26/03/2022,4.686
27/03/2022,02/04/2022,4.717
03/04/2022,09/04/2022,4.756
10/04/2022,16/04/2022,5.036
17/04/2022,23/04/2022,5.317
24/04/2022,30/04/2022,5.348
01/05/2022,07/05/2022,5.192
08/05/2022,14/05/2022,5.05
15/05/2022,21/05/2022,4.94
22/05/2022,28/05/2022,4.9
29/05/2022,04/06/2022,4.77
05/06/2022,11/06/2022,4.65
12/06/2022,18/06/2022,4.56
19/06/2022,25/06/2022,4.53
26/06/2022,02/07/2022,4.39
03/07/2022,09/07/2022,4.21
10/07/2022,16/07/2022,4.12
17/07/2022,23/07/2022,4.05
24/07/2022,30/07/2022,3.94
